reading_time,year,month,day,hour24,weekday,is_weekend,ontario_demand,temp_c,tou_period,hourly_cost
2024-01-01 00:00:00,2024,1,1,0,0,0,14482,-0.70,off-peak,141923.6
2024-01-01 01:00:00,2024,1,1,1,0,0,14180,-0.90,off-peak,138964.0
2024-01-01 02:00:00,2024,1,1,2,0,0,13722,-1.50,off-peak,134475.6
2024-01-01 03:00:00,2024,1,1,3,0,0,13637,-1.50,off-peak,133642.6
2024-01-01 04:00:00,2024,1,1,4,0,0,13697,-1.80,off-peak,134230.6
2024-01-01 05:00:00,2024,1,1,5,0,0,13787,-2.50,off-peak,135112.6
2024-01-01 06:00:00,2024,1,1,6,0,0,14055,-3.00,off-peak,137739.0
2024-01-01 07:00:00,2024,1,1,7,0,0,14481,-3.10,on-peak,293964.3
2024-01-01 08:00:00,2024,1,1,8,0,0,14708,-2.80,on-peak,298572.4
2024-01-01 09:00:00,2024,1,1,9,0,0,14890,-2.80,on-peak,302267.0
2024-01-01 10:00:00,2024,1,1,10,0,0,15240,-2.50,on-peak,309372.0
2024-01-01 11:00:00,2024,1,1,11,0,0,15564,-2.00,mid-peak,244354.8
2024-01-01 12:00:00,2024,1,1,12,0,0,15920,-1.70,mid-peak,249944.0
2024-01-01 13:00:00,2024,1,1,13,0,0,16072,-1.30,mid-peak,252330.4
2024-01-01 14:00:00,2024,1,1,14,0,0,16339,-0.90,mid-peak,256522.3
2024-01-01 15:00:00,2024,1,1,15,0,0,16538,-0.80,mid-peak,259646.6
2024-01-01 16:00:00,2024,1,1,16,0,0,17147,-0.80,mid-peak,269207.9
2024-01-01 17:00:00,2024,1,1,17,0,0,17805,-0.90,on-peak,361441.5
2024-01-01 18:00:00,2024,1,1,18,0,0,17525,-1.40,on-peak,355757.5
2024-01-01 19:00:00,2024,1,1,19,0,0,17261,-1.30,off-peak,169157.8
2024-01-01 20:00:00,2024,1,1,20,0,0,16822,-1.70,off-peak,164855.6
2024-01-01 21:00:00,2024,1,1,21,0,0,16303,-2.00,off-peak,159769.4
2024-01-01 22:00:00,2024,1,1,22,0,0,15410,-1.80,off-peak,151018.0
2024-01-01 23:00:00,2024,1,1,23,0,0,14694,-1.40,off-peak,144001.2
2024-01-02 00:00:00,2024,1,2,0,1,0,14124,-1.20,off-peak,138415.2
2024-01-02 01:00:00,2024,1,2,1,1,0,13796,-1.10,off-peak,135200.8
2024-01-02 02:00:00,2024,1,2,2,1,0,13617,-1.40,off-peak,133446.6
2024-01-02 03:00:00,2024,1,2,3,1,0,13500,-1.20,off-peak,132300.0
2024-01-02 04:00:00,2024,1,2,4,1,0,13714,-1.00,off-peak,134397.2
2024-01-02 05:00:00,2024,1,2,5,1,0,14196,-0.80,off-peak,139120.8
2024-01-02 06:00:00,2024,1,2,6,1,0,15381,-0.90,off-peak,150733.8
2024-01-02 07:00:00,2024,1,2,7,1,0,16411,-0.90,on-peak,333143.3
2024-01-02 08:00:00,2024,1,2,8,1,0,16839,-0.80,on-peak,341831.7
2024-01-02 09:00:00,2024,1,2,9,1,0,17215,-0.70,on-peak,349464.5
2024-01-02 10:00:00,2024,1,2,10,1,0,17519,-0.50,on-peak,355635.7
2024-01-02 11:00:00,2024,1,2,11,1,0,17606,-0.20,mid-peak,276414.2
2024-01-02 12:00:00,2024,1,2,12,1,0,17648,0.20,mid-peak,277073.6
2024-01-02 13:00:00,2024,1,2,13,1,0,17644,0.60,mid-peak,277010.8
2024-01-02 14:00:00,2024,1,2,14,1,0,17684,1.30,mid-peak,277638.8
2024-01-02 15:00:00,2024,1,2,15,1,0,17964,1.20,mid-peak,282034.8
2024-01-02 16:00:00,2024,1,2,16,1,0,18402,0.80,mid-peak,288911.4
2024-01-02 17:00:00,2024,1,2,17,1,0,19035,0.60,on-peak,386410.5
2024-01-02 18:00:00,2024,1,2,18,1,0,18688,0.40,on-peak,379366.4
2024-01-02 19:00:00,2024,1,2,19,1,0,18384,0.50,off-peak,180163.2
2024-01-02 20:00:00,2024,1,2,20,1,0,18027,0.50,off-peak,176664.6
2024-01-02 21:00:00,2024,1,2,21,1,0,17361,0.60,off-peak,170137.8
2024-01-02 22:00:00,2024,1,2,22,1,0,16334,0.60,off-peak,160073.2
2024-01-02 23:00:00,2024,1,2,23,1,0,15456,0.60,off-peak,151468.8
2024-01-03 00:00:00,2024,1,3,0,2,0,14780,0.60,off-peak,144844.0
2024-01-03 01:00:00,2024,1,3,1,2,0,14444,0.60,off-peak,141551.2
2024-01-03 02:00:00,2024,1,3,2,2,0,14189,0.60,off-peak,139052.2
2024-01-03 03:00:00,2024,1,3,3,2,0,14184,0.80,off-peak,139003.2
2024-01-03 04:00:00,2024,1,3,4,2,0,14401,0.90,off-peak,141129.8
2024-01-03 05:00:00,2024,1,3,5,2,0,14909,1.20,off-peak,146108.2
2024-01-03 06:00:00,2024,1,3,6,2,0,15851,1.30,off-peak,155339.8
2024-01-03 07:00:00,2024,1,3,7,2,0,17068,1.70,on-peak,346480.4
2024-01-03 08:00:00,2024,1,3,8,2,0,17643,1.50,on-peak,358152.9
2024-01-03 09:00:00,2024,1,3,9,2,0,18022,1.70,on-peak,365846.6
2024-01-03 10:00:00,2024,1,3,10,2,0,18192,2.00,on-peak,369297.6
2024-01-03 11:00:00,2024,1,3,11,2,0,18354,2.20,mid-peak,288157.8
2024-01-03 12:00:00,2024,1,3,12,2,0,18257,2.60,mid-peak,286634.9
2024-01-03 13:00:00,2024,1,3,13,2,0,18207,3.00,mid-peak,285849.9
2024-01-03 14:00:00,2024,1,3,14,2,0,18255,3.00,mid-peak,286603.5
2024-01-03 15:00:00,2024,1,3,15,2,0,18476,2.70,mid-peak,290073.2
2024-01-03 16:00:00,2024,1,3,16,2,0,18928,2.50,mid-peak,297169.6
2024-01-03 17:00:00,2024,1,3,17,2,0,19452,2.20,on-peak,394875.6
2024-01-03 18:00:00,2024,1,3,18,2,0,19015,2.30,on-peak,386004.5
2024-01-03 19:00:00,2024,1,3,19,2,0,18843,2.10,off-peak,184661.4
2024-01-03 20:00:00,2024,1,3,20,2,0,18418,1.90,off-peak,180496.4
2024-01-03 21:00:00,2024,1,3,21,2,0,17725,1.80,off-peak,173705.0
2024-01-03 22:00:00,2024,1,3,22,2,0,16766,1.60,off-peak,164306.8
2024-01-03 23:00:00,2024,1,3,23,2,0,15698,1.80,off-peak,153840.4
2024-01-04 00:00:00,2024,1,4,0,3,0,14981,1.50,off-peak,146813.8
2024-01-04 01:00:00,2024,1,4,1,3,0,14838,1.80,off-peak,145412.4
2024-01-04 02:00:00,2024,1,4,2,3,0,14576,1.40,off-peak,142844.8
2024-01-04 03:00:00,2024,1,4,3,3,0,14579,0.10,off-peak,142874.2
2024-01-04 04:00:00,2024,1,4,4,3,0,14825,-1.10,off-peak,145285.0
2024-01-04 05:00:00,2024,1,4,5,3,0,15275,-2.10,off-peak,149695.0
2024-01-04 06:00:00,2024,1,4,6,3,0,16375,-3.40,off-peak,160475.0
2024-01-04 07:00:00,2024,1,4,7,3,0,17597,-4.50,on-peak,357219.1
2024-01-04 08:00:00,2024,1,4,8,3,0,18143,-5.70,on-peak,368302.9
2024-01-04 09:00:00,2024,1,4,9,3,0,18286,-5.60,on-peak,371205.8
2024-01-04 10:00:00,2024,1,4,10,3,0,18076,-5.30,on-peak,366942.8
2024-01-04 11:00:00,2024,1,4,11,3,0,17753,-4.20,mid-peak,278722.1
2024-01-04 12:00:00,2024,1,4,12,3,0,17465,-3.50,mid-peak,274200.5
2024-01-04 13:00:00,2024,1,4,13,3,0,17312,-3.00,mid-peak,271798.4
2024-01-04 14:00:00,2024,1,4,14,3,0,17580,-2.70,mid-peak,276006.0
2024-01-04 15:00:00,2024,1,4,15,3,0,18241,-2.30,mid-peak,286383.7
2024-01-04 16:00:00,2024,1,4,16,3,0,19035,-2.40,mid-peak,298849.5
2024-01-04 17:00:00,2024,1,4,17,3,0,19981,-3.40,on-peak,405614.3
2024-01-04 18:00:00,2024,1,4,18,3,0,19718,-4.00,on-peak,400275.4
2024-01-04 19:00:00,2024,1,4,19,3,0,19498,-4.20,off-peak,191080.4
2024-01-04 20:00:00,2024,1,4,20,3,0,19186,-3.80,off-peak,188022.8
2024-01-04 21:00:00,2024,1,4,21,3,0,18603,-3.40,off-peak,182309.4
2024-01-04 22:00:00,2024,1,4,22,3,0,17574,-3.00,off-peak,172225.2
2024-01-04 23:00:00,2024,1,4,23,3,0,16736,-2.80,off-peak,164012.8
2024-01-05 00:00:00,2024,1,5,0,4,0,16002,-2.40,off-peak,156819.6
2024-01-05 01:00:00,2024,1,5,1,4,0,15638,-2.10,off-peak,153252.4
2024-01-05 02:00:00,2024,1,5,2,4,0,15335,-1.90,off-peak,150283.0
2024-01-05 03:00:00,2024,1,5,3,4,0,15223,-2.00,off-peak,149185.4
2024-01-05 04:00:00,2024,1,5,4,4,0,15387,-2.00,off-peak,150792.6
2024-01-05 05:00:00,2024,1,5,5,4,0,15768,-2.00,off-peak,154526.4
2024-01-05 06:00:00,2024,1,5,6,4,0,16789,-2.00,off-peak,164532.2
2024-01-05 07:00:00,2024,1,5,7,4,0,17717,-2.00,on-peak,359655.1
2024-01-05 08:00:00,2024,1,5,8,4,0,18250,-2.00,on-peak,370475.0
2024-01-05 09:00:00,2024,1,5,9,4,0,18473,-1.90,on-peak,375001.9
2024-01-05 10:00:00,2024,1,5,10,4,0,18635,-1.50,on-peak,378290.5
2024-01-05 11:00:00,2024,1,5,11,4,0,18775,-1.00,mid-peak,294767.5
2024-01-05 12:00:00,2024,1,5,12,4,0,18780,-0.80,mid-peak,294846.0
2024-01-05 13:00:00,2024,1,5,13,4,0,18830,-0.70,mid-peak,295631.0
2024-01-05 14:00:00,2024,1,5,14,4,0,18835,-0.30,mid-peak,295709.5
2024-01-05 15:00:00,2024,1,5,15,4,0,18847,-0.50,mid-peak,295897.9
2024-01-05 16:00:00,2024,1,5,16,4,0,19122,-0.60,mid-peak,300215.4
2024-01-05 17:00:00,2024,1,5,17,4,0,19536,-0.50,on-peak,396580.8
2024-01-05 18:00:00,2024,1,5,18,4,0,19079,-0.40,on-peak,387303.7
2024-01-05 19:00:00,2024,1,5,19,4,0,18802,-0.20,off-peak,184259.6
2024-01-05 20:00:00,2024,1,5,20,4,0,18617,-0.10,off-peak,182446.6
2024-01-05 21:00:00,2024,1,5,21,4,0,18012,-0.10,off-peak,176517.6
2024-01-05 22:00:00,2024,1,5,22,4,0,17178,0.00,off-peak,168344.4
2024-01-05 23:00:00,2024,1,5,23,4,0,16220,0.00,off-peak,158956.0
2024-01-06 00:00:00,2024,1,6,0,5,1,15542,0.00,off-peak,152311.6
2024-01-06 01:00:00,2024,1,6,1,5,1,15073,0.20,off-peak,147715.4
2024-01-06 02:00:00,2024,1,6,2,5,1,14709,0.20,off-peak,144148.2
2024-01-06 03:00:00,2024,1,6,3,5,1,14625,0.20,off-peak,143325.0
2024-01-06 04:00:00,2024,1,6,4,5,1,14546,0.30,off-peak,142550.8
2024-01-06 05:00:00,2024,1,6,5,5,1,14898,0.00,off-peak,146000.4
2024-01-06 06:00:00,2024,1,6,6,5,1,15388,0.20,off-peak,150802.4
2024-01-06 07:00:00,2024,1,6,7,5,1,15970,0.50,off-peak,156506.0
2024-01-06 08:00:00,2024,1,6,8,5,1,16495,0.90,off-peak,161651.0
2024-01-06 09:00:00,2024,1,6,9,5,1,17058,0.70,off-peak,167168.4
2024-01-06 10:00:00,2024,1,6,10,5,1,17497,0.70,off-peak,171470.6
2024-01-06 11:00:00,2024,1,6,11,5,1,18055,1.00,off-peak,176939.0
2024-01-06 12:00:00,2024,1,6,12,5,1,18364,1.40,off-peak,179967.2
2024-01-06 13:00:00,2024,1,6,13,5,1,18031,1.70,off-peak,176703.8
2024-01-06 14:00:00,2024,1,6,14,5,1,17980,1.90,off-peak,176204.0
2024-01-06 15:00:00,2024,1,6,15,5,1,18121,1.50,off-peak,177585.8
2024-01-06 16:00:00,2024,1,6,16,5,1,18561,0.10,off-peak,181897.8
2024-01-06 17:00:00,2024,1,6,17,5,1,19074,0.30,off-peak,186925.2
2024-01-06 18:00:00,2024,1,6,18,5,1,18752,-0.50,off-peak,183769.6
2024-01-06 19:00:00,2024,1,6,19,5,1,18547,-1.00,off-peak,181760.6
2024-01-06 20:00:00,2024,1,6,20,5,1,18122,-1.90,off-peak,177595.6
2024-01-06 21:00:00,2024,1,6,21,5,1,17701,-2.60,off-peak,173469.8
2024-01-06 22:00:00,2024,1,6,22,5,1,16995,-2.80,off-peak,166551.0
2024-01-06 23:00:00,2024,1,6,23,5,1,16190,-2.70,off-peak,158662.0
2024-01-07 00:00:00,2024,1,7,0,6,1,15516,-3.30,off-peak,152056.8
2024-01-07 01:00:00,2024,1,7,1,6,1,15098,-3.40,off-peak,147960.4
2024-01-07 02:00:00,2024,1,7,2,6,1,14948,-3.50,off-peak,146490.4
2024-01-07 03:00:00,2024,1,7,3,6,1,14862,-3.70,off-peak,145647.6
2024-01-07 04:00:00,2024,1,7,4,6,1,14967,-3.90,off-peak,146676.6
2024-01-07 05:00:00,2024,1,7,5,6,1,15118,-4.00,off-peak,148156.4
2024-01-07 06:00:00,2024,1,7,6,6,1,15424,-3.90,off-peak,151155.2
2024-01-07 07:00:00,2024,1,7,7,6,1,16013,-4.20,off-peak,156927.4
2024-01-07 08:00:00,2024,1,7,8,6,1,16603,-4.00,off-peak,162709.4
2024-01-07 09:00:00,2024,1,7,9,6,1,17152,-3.70,off-peak,168089.6
2024-01-07 10:00:00,2024,1,7,10,6,1,17625,-2.70,off-peak,172725.0
2024-01-07 11:00:00,2024,1,7,11,6,1,17921,-1.90,off-peak,175625.8
2024-01-07 12:00:00,2024,1,7,12,6,1,18094,-1.80,off-peak,177321.2
2024-01-07 13:00:00,2024,1,7,13,6,1,18021,-1.40,off-peak,176605.8
2024-01-07 14:00:00,2024,1,7,14,6,1,17860,-0.70,off-peak,175028.0
2024-01-07 15:00:00,2024,1,7,15,6,1,17942,-0.30,off-peak,175831.6
2024-01-07 16:00:00,2024,1,7,16,6,1,18512,-0.10,off-peak,181417.6
2024-01-07 17:00:00,2024,1,7,17,6,1,19192,-0.40,off-peak,188081.6
2024-01-07 18:00:00,2024,1,7,18,6,1,18900,-0.30,off-peak,185220.0
2024-01-07 19:00:00,2024,1,7,19,6,1,18454,-0.40,off-peak,180849.2
2024-01-07 20:00:00,2024,1,7,20,6,1,18018,-0.20,off-peak,176576.4
2024-01-07 21:00:00,2024,1,7,21,6,1,17312,-0.10,off-peak,169657.6
2024-01-07 22:00:00,2024,1,7,22,6,1,16296,0.00,off-peak,159700.8
2024-01-07 23:00:00,2024,1,7,23,6,1,15521,0.10,off-peak,152105.8
2024-01-08 00:00:00,2024,1,8,0,0,0,15036,0.00,off-peak,147352.8
2024-01-08 01:00:00,2024,1,8,1,0,0,14460,0.70,off-peak,141708.0
2024-01-08 02:00:00,2024,1,8,2,0,0,14284,0.90,off-peak,139983.2
2024-01-08 03:00:00,2024,1,8,3,0,0,14257,1.10,off-peak,139718.6
2024-01-08 04:00:00,2024,1,8,4,0,0,14442,1.10,off-peak,141531.6
2024-01-08 05:00:00,2024,1,8,5,0,0,15113,1.60,off-peak,148107.4
